level,pos,jp_word,reading,meaning
N5,verb,会う,あう,만나다
N5,verb,有る,ある,있다
N5,verb,言う,いう,말하다
N5,verb,行く,いく,가다
N5,verb,要る,いる,필요하다
N5,verb,入る,はいる,들어가다
N5,verb,出る,でる,"나가다, 나오다"
N5,verb,見る,みる,보다
N5,verb,聞く,きく,"듣다, 묻다"
N5,verb,読む,よむ,읽다
N5,verb,書く,かく,쓰다
N5,verb,話す,はなす,말하다
N5,verb,買う,かう,사다
N5,verb,飲む,のむ,마시다
N5,verb,寝る,ねる,자다
N5,verb,起きる,おきる,일어나다
N5,verb,使う,つかう,사용하다
N5,verb,作る,つくる,만들다
N5,verb,持つ,もつ,"들다, 가지다"
N5,verb,待つ,まつ,기다리다
N5,verb,帰る,かえる,"돌아가다, 돌아오다"
N5,verb,来る,くる,오다
N5,verb,分かる,わかる,"알다, 이해하다"
N5,verb,始まる,はじまる,시작되다
N5,verb,始める,はじめる,시작하다
N5,verb,終わる,おわる,끝나다
N5,verb,働く,はたらく,일하다
N5,verb,着る,きる,입다
N5,verb,座る,すわる,앉다
N5,verb,立つ,たつ,서다
N5,i_adj,赤い,あかい,빨갛다
N5,i_adj,青い,あおい,파랗다
N5,i_adj,新しい,あたらしい,새롭다
N5,i_adj,古い,ふるい,오래되다
N5,i_adj,暑い,あつい,덥다
N5,i_adj,寒い,さむい,춥다
N5,i_adj,大きい,おおきい,크다
N5,i_adj,小さい,ちいさい,작다
N5,i_adj,多い,おおい,많다
N5,i_adj,少ない,すくない,적다
N5,i_adj,高い,たかい,"비싸다, 높다"
N5,i_adj,安い,やすい,싸다
N5,i_adj,早い,はやい,"빠르다, 이르다"
N5,i_adj,遅い,おそい,늦다
N5,i_adj,近い,ちかい,가깝다
N5,i_adj,長い,ながい,길다
N5,i_adj,面白い,おもしろい,재미있다
N5,i_adj,美味しい,おいしい,맛있다
N5,i_adj,楽しい,たのしい,즐겁다
N5,i_adj,難しい,むずかしい,어렵다
N5,na_adj,好きだ,すきだ,좋아하다
N5,na_adj,嫌いだ,きらいだ,싫어하다
N5,na_adj,綺麗だ,きれいだ,"예쁘다, 깨끗하다"
N5,na_adj,大変だ,たいへんだ,"힘들다, 큰일이다"
N5,na_adj,楽だ,らくだ,편하다
N5,na_adj,変だ,へんだ,이상하다
